f1,i,query time (s),train time (s)
0.995433789954338,0,0,0
0.995433789954338,1,0,0
0.995433789954338,2,0,0
0.9931350114416476,3,0,0
0.9931350114416476,4,0,0
0.9861751152073733,5,0,0
0.9861751152073733,6,0,0
0.9861751152073733,7,0,0
0.9861751152073733,8,0,0
0.9861751152073733,9,0,0
0.9861751152073733,10,0,0
0.9861751152073733,11,0,0
0.9977220956719818,12,0,0
0.9977220956719818,13,0,0
0.9977220956719818,14,0,0
0.9977220956719818,15,0,0
0.9977220956719818,16,0,0
0.9977220956719818,17,0,0
0.9977220956719818,18,0,0
0.9977220956719818,19,0,0
1.0,20,0,0
1.0,21,0,0
1.0,22,0,0
1.0,23,0,0
1.0,24,0,0
0.9977220956719818,25,0,0
0.9977220956719818,26,0,0
0.9977220956719818,27,0,0
0.9977220956719818,28,0,0
0.9977220956719818,29,0,0
0.9977220956719818,30,0,0
0.9977220956719818,31,0,0
0.995433789954338,32,0,0
0.995433789954338,33,0,0
0.995433789954338,34,0,0
0.995433789954338,35,0,0
0.995433789954338,36,0,0
0.995433789954338,37,0,0
0.995433789954338,38,0,0
0.995433789954338,39,0,0
0.995433789954338,40,0,0
0.995433789954338,41,0,0
0.995433789954338,42,0,0
0.995433789954338,43,0,0
0.995433789954338,44,0,0
0.995433789954338,45,0,0
1.0,46,0,0
1.0,47,0,0
1.0,48,0,0
1.0,49,0,0
1.0,50,0,0
1.0,51,0,0
1.0,52,0,0
1.0,53,0,0
1.0,54,0,0
1.0,55,0,0
1.0,56,0,0
1.0,57,0,0
1.0,58,0,0
1.0,59,0,0
1.0,60,0,0
1.0,61,0,0
1.0,62,0,0
1.0,63,0,0
1.0,64,0,0
1.0,65,0,0
1.0,66,0,0
1.0,67,0,0
1.0,68,0,0
1.0,69,0,0
0.9977324263038548,70,0,0
0.9977324263038548,71,0,0
0.9977324263038548,72,0,0
0.9977324263038548,73,0,0
0.9977324263038548,74,0,0
0.9954545454545455,75,0,0
1.0,76,0,0
1.0,77,0,0
1.0,78,0,0
1.0,79,0,0
1.0,80,0,0
1.0,81,0,0
1.0,82,0,0
1.0,83,0,0
0.9977324263038548,84,0,0
0.9977324263038548,85,0,0
0.9977324263038548,86,0,0
0.9954545454545455,87,0,0
1.0,88,0,0
0.9977324263038548,89,0,0
0.9977324263038548,90,0,0
0.9977324263038548,91,0,0
0.9977324263038548,92,0,0
0.9977324263038548,93,0,0
0.9977324263038548,94,0,0
0.9977324263038548,95,0,0
0.9977324263038548,96,0,0
1.0,97,0,0
1.0,98,0,0
1.0,99,0,0
1.0,100,0,0
