f1,i,query time (s),train time (s)
0.20689655172413793,0,0,0
0.2666666666666667,1,0,0
0.375,2,0,0
0.2666666666666667,3,0,0
0.375,4,0,0
0.375,5,0,0
0.375,6,0,0
0.375,7,0,0
0.375,8,0,0
0.375,9,0,0
0.375,10,0,0
0.375,11,0,0
0.375,12,0,0
0.375,13,0,0
0.375,14,0,0
0.375,15,0,0
0.375,16,0,0
0.375,17,0,0
0.375,18,0,0
0.375,19,0,0
0.375,20,0,0
0.375,21,0,0
0.375,22,0,0
0.375,23,0,0
0.375,24,0,0
0.375,25,0,0
0.375,26,0,0
0.375,27,0,0
0.375,28,0,0
0.375,29,0,0
0.375,30,0,0
0.375,31,0,0
0.375,32,0,0
0.375,33,0,0
0.375,34,0,0
0.375,35,0,0
0.375,36,0,0
0.375,37,0,0
0.375,38,0,0
0.375,39,0,0
0.375,40,0,0
0.375,41,0,0
0.375,42,0,0
0.375,43,0,0
0.375,44,0,0
0.375,45,0,0
0.375,46,0,0
0.375,47,0,0
0.375,48,0,0
0.375,49,0,0
0.375,50,0,0
0.375,51,0,0
0.375,52,0,0
0.375,53,0,0
0.375,54,0,0
0.375,55,0,0
0.375,56,0,0
0.375,57,0,0
0.375,58,0,0
0.375,59,0,0
0.375,60,0,0
0.375,61,0,0
0.375,62,0,0
0.375,63,0,0
0.375,64,0,0
0.375,65,0,0
0.375,66,0,0
0.375,67,0,0
0.375,68,0,0
0.375,69,0,0
0.375,70,0,0
0.375,71,0,0
0.375,72,0,0
0.375,73,0,0
0.375,74,0,0
0.375,75,0,0
0.375,76,0,0
0.375,77,0,0
0.375,78,0,0
0.375,79,0,0
0.375,80,0,0
0.375,81,0,0
0.375,82,0,0
0.375,83,0,0
0.375,84,0,0
0.375,85,0,0
0.375,86,0,0
0.375,87,0,0
0.375,88,0,0
0.375,89,0,0
0.375,90,0,0
0.375,91,0,0
0.375,92,0,0
0.375,93,0,0
0.375,94,0,0
0.375,95,0,0
0.375,96,0,0
0.375,97,0,0
0.375,98,0,0
0.375,99,0,0
0.375,100,0,0
