initial_FN,initial_FP,initial_average precision,initial_f1,initial_precision,initial_recall,initial_roc auc,label,learner,query time (s),sample_100_FN,sample_100_FP,sample_100_average precision,sample_100_f1,sample_100_precision,sample_100_recall,sample_100_roc auc,sample_10_FN,sample_10_FP,sample_10_average precision,sample_10_f1,sample_10_precision,sample_10_recall,sample_10_roc auc,sample_1_FN,sample_1_FP,sample_1_average precision,sample_1_f1,sample_1_precision,sample_1_recall,sample_1_roc auc,sample_25_FN,sample_25_FP,sample_25_average precision,sample_25_f1,sample_25_precision,sample_25_recall,sample_25_roc auc,sample_50_FN,sample_50_FP,sample_50_average precision,sample_50_f1,sample_50_precision,sample_50_recall,sample_50_roc auc,sampling strategy,train time (s)
10,0,1.0,0.999821899266225,1.0,0.999643861960896,1.0,smurf.,RandomForestClassifier,0.11353611946105957,12,0,1.0,0.9997862715064297,1.0,0.9995726343530753,1.0,10,0,1.0,0.999821899266225,1.0,0.999643861960896,1.0,10,0,1.0,0.999821899266225,1.0,0.999643861960896,1.0,12,0,1.0,0.9997862715064297,1.0,0.9995726343530753,1.0,12,0,1.0,0.9997862715064297,1.0,0.9995726343530753,1.0,random_sampling,0.10528206825256348
10,0,1.0,0.999821899266225,1.0,0.999643861960896,1.0,smurf.,RandomForestClassifier,0.11146020889282227,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,6,0,1.0,0.9998931471719618,1.0,0.9997863171765377,1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,entropy_sampling,0.1093759536743164
10,0,1.0,0.999821899266225,1.0,0.999643861960896,1.0,smurf.,RandomForestClassifier,0.11464071273803711,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,6,0,1.0,0.9998931471719618,1.0,0.9997863171765377,1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,uncertainty_sampling,0.10989785194396973
9,57,0.9999969145370411,0.9988257481407679,0.9979734774416041,0.9996794757648064,0.9999909684154763,smurf.,LogisticRegression,0.002382993698120117,9,6,0.9997988595469577,0.9997328822010507,0.9997862943439236,0.9996794757648064,0.9998911487220736,9,5,0.999998141602494,0.99975068561456,0.9998219056099733,0.9996794757648064,0.9999945744595606,9,67,0.9999224386206791,0.9986480717233528,0.9976187937591072,0.9996794757648064,0.9998858183665542,9,6,0.999798421633803,0.9997328822010507,0.9997862943439236,0.9996794757648064,0.999889856403737,9,4,0.9998048282936791,0.999768489662173,0.99985751941298,0.9996794757648064,0.9998903725988798,random_sampling,0.02431201934814453
9,57,0.9999969145370411,0.9988257481407679,0.9979734774416041,0.9996794757648064,0.9999909684154763,smurf.,LogisticRegression,0.0025589466094970703,0,0,1.0,1.0,1.0,1.0,0.9999999999999999,1,7,0.9999999340469276,0.9998575600028488,0.9997507566316539,0.9999643861960896,0.99999980963016,9,3,0.9998183874005007,0.9997862943439236,0.9998931357532148,0.9996794757648064,0.9998884469347292,1,5,0.9998197481749087,0.999893166197785,0.9998219563436955,0.9999643861960896,0.9997934047921185,0,2,0.9999999885841899,0.9999643874643874,0.9999287774651899,1.0,0.999999967051374,entropy_sampling,0.026510953903198242
9,57,0.9999969145370411,0.9988257481407679,0.9979734774416041,0.9996794757648064,0.9999909684154763,smurf.,LogisticRegression,0.002276182174682617,0,0,1.0,1.0,1.0,1.0,0.9999999999999999,1,7,0.9999999340469276,0.9998575600028488,0.9997507566316539,0.9999643861960896,0.99999980963016,9,3,0.9998183874005007,0.9997862943439236,0.9998931357532148,0.9996794757648064,0.9998884469347292,1,5,0.9998197481749087,0.999893166197785,0.9998219563436955,0.9999643861960896,0.9997934047921185,0,2,0.9999999885841899,0.9999643874643874,0.9999287774651899,1.0,0.999999967051374,uncertainty_sampling,0.034185171127319336
4,0,0.9999998956170286,0.9998133980220191,1.0,0.9996268656716418,0.999999942464896,neptune.,RandomForestClassifier,0.11269497871398926,3,0,0.999999930437299,0.9998600550450156,1.0,0.9997201492537313,0.999999961643264,4,0,0.9999998956170286,0.9998133980220191,1.0,0.9996268656716418,0.999999942464896,4,0,0.9999998956170286,0.9998133980220191,1.0,0.9996268656716418,0.999999942464896,3,0,0.999999930437299,0.9998600550450156,1.0,0.9997201492537313,0.999999961643264,3,0,0.999999930437299,0.9998600550450156,1.0,0.9997201492537313,0.999999961643264,random_sampling,0.10952281951904297
4,0,0.9999998956170286,0.9998133980220191,1.0,0.9996268656716418,0.999999942464896,neptune.,RandomForestClassifier,0.11259293556213379,1,0,1.0,0.999953356033397,1.0,0.9999067164179104,1.0,1,0,0.999999991298985,0.999953356033397,1.0,0.9999067164179104,0.9999999952054079,4,0,0.9999996349999583,0.9998133980220191,1.0,0.9996268656716418,0.9999997410920316,1,0,1.0,0.999953356033397,1.0,0.9999067164179104,1.0,1,0,1.0,0.999953356033397,1.0,0.9999067164179104,1.0,entropy_sampling,0.10872769355773926
4,0,0.9999998956170286,0.9998133980220191,1.0,0.9996268656716418,0.999999942464896,neptune.,RandomForestClassifier,0.10899615287780762,1,0,1.0,0.999953356033397,1.0,0.9999067164179104,1.0,1,0,0.999999991298985,0.999953356033397,1.0,0.9999067164179104,0.9999999952054079,4,0,0.9999996349999583,0.9998133980220191,1.0,0.9996268656716418,0.9999997410920316,1,0,1.0,0.999953356033397,1.0,0.9999067164179104,1.0,1,0,1.0,0.999953356033397,1.0,0.9999067164179104,1.0,uncertainty_sampling,0.10741710662841797
6,3,0.9999929910309973,0.9995801651350468,0.9997200709153681,0.9994402985074626,0.9999920985123724,neptune.,LogisticRegression,0.0018801689147949219,6,2,0.9999935548302472,0.999626796044038,0.9998133631952221,0.9994402985074626,0.9999927409877013,6,2,0.9999941467118987,0.999626796044038,0.9998133631952221,0.9994402985074626,0.9999934218197664,6,2,0.9999941053771141,0.999626796044038,0.9998133631952221,0.9994402985074626,0.9999933738738462,6,2,0.9999931248112297,0.999626796044038,0.9998133631952221,0.9994402985074626,0.9999922519393165,5,1,0.9999964052659931,0.9997200970330286,0.9999066815976111,0.9995335820895522,0.9999959821318981,random_sampling,0.024976015090942383
