f1,i,query time (s),train time (s)
0.908108108108108,0,0.0009851455688476562,0.03047490119934082
0.9312169312169313,1,0.02063298225402832,0.025129079818725586
0.9214659685863874,2,0.018456697463989258,0.02532029151916504
0.900523560209424,3,0.020718812942504883,0.033941030502319336
0.9326424870466321,4,0.023363113403320312,0.034620046615600586
0.9435897435897437,5,0.02312016487121582,0.03272509574890137
0.9538461538461539,6,0.019032001495361328,0.021615028381347656
0.9538461538461539,7,0.01835489273071289,0.02596879005432129
0.9738219895287958,8,0.01981806755065918,0.021908044815063477
0.9738219895287958,9,0.01946401596069336,0.0239870548248291
0.9896907216494846,10,0.018252849578857422,0.026968955993652344
0.9896907216494846,11,0.017939090728759766,0.029275894165039062
0.9948717948717948,12,0.020920753479003906,0.02143406867980957
0.9948717948717948,13,0.020214080810546875,0.02359485626220703
0.9948717948717948,14,0.020360946655273438,0.022565126419067383
0.9948717948717948,15,0.01817178726196289,0.02351212501525879
0.9948717948717948,16,0.022436857223510742,0.025555849075317383
0.9948717948717948,17,0.01799798011779785,0.021043777465820312
0.9948717948717948,18,0.019936084747314453,0.02603912353515625
0.9948717948717948,19,0.019860029220581055,0.02390313148498535
0.9948717948717948,20,0.022476673126220703,0.02749800682067871
1.0,21,0.018563032150268555,0.021883249282836914
1.0,22,0.019186973571777344,0.025646686553955078
1.0,23,0.01810622215270996,0.023468732833862305
1.0,24,0.0216829776763916,0.02550482749938965
1.0,25,0.01814126968383789,0.027050018310546875
1.0,26,0.017976045608520508,0.02173900604248047
1.0,27,0.018728017807006836,0.027149200439453125
1.0,28,0.017748117446899414,0.02095627784729004
1.0,29,0.023167133331298828,0.02840113639831543
1.0,30,0.01771712303161621,0.021551847457885742
1.0,31,0.01747870445251465,0.02031111717224121
1.0,32,0.017412900924682617,0.02456188201904297
1.0,33,0.018425941467285156,0.021564960479736328
1.0,34,0.017261028289794922,0.021596908569335938
1.0,35,0.017403841018676758,0.021381855010986328
1.0,36,0.01751399040222168,0.02223825454711914
1.0,37,0.017554044723510742,0.021209239959716797
1.0,38,0.017065048217773438,0.01973891258239746
1.0,39,0.018336057662963867,0.021759986877441406
1.0,40,0.017702817916870117,0.023931026458740234
1.0,41,0.018503904342651367,0.02318596839904785
1.0,42,0.019502878189086914,0.02882218360900879
1.0,43,0.02061295509338379,0.03214120864868164
1.0,44,0.01970386505126953,0.02220606803894043
1.0,45,0.017345666885375977,0.02262401580810547
1.0,46,0.018318891525268555,0.02458500862121582
1.0,47,0.02072286605834961,0.03094792366027832
1.0,48,0.01913285255432129,0.021895885467529297
1.0,49,0.021097898483276367,0.022831201553344727
1.0,50,0.01961493492126465,0.023224830627441406
1.0,51,0.017711877822875977,0.022990942001342773
1.0,52,0.019479036331176758,0.02494192123413086
1.0,53,0.017915964126586914,0.020941734313964844
1.0,54,0.017903804779052734,0.02250981330871582
1.0,55,0.018437862396240234,0.022583961486816406
1.0,56,0.018119096755981445,0.022079944610595703
1.0,57,0.01824188232421875,0.021394014358520508
1.0,58,0.017848968505859375,0.022112131118774414
1.0,59,0.017838716506958008,0.021623849868774414
1.0,60,0.01730513572692871,0.021712779998779297
1.0,61,0.02214503288269043,0.027777910232543945
1.0,62,0.023836851119995117,0.03587627410888672
1.0,63,0.02250385284423828,0.028460979461669922
1.0,64,0.019728899002075195,0.024824142456054688
1.0,65,0.018697023391723633,0.023904085159301758
1.0,66,0.018658161163330078,0.024882793426513672
1.0,67,0.018988847732543945,0.02347278594970703
1.0,68,0.01858997344970703,0.02237987518310547
1.0,69,0.0191192626953125,0.022655963897705078
1.0,70,0.01872420310974121,0.024207115173339844
1.0,71,0.01823878288269043,0.031835079193115234
1.0,72,0.018877029418945312,0.02562689781188965
1.0,73,0.018413066864013672,0.02452373504638672
1.0,74,0.018024206161499023,0.02347588539123535
1.0,75,0.018580198287963867,0.03274393081665039
1.0,76,0.019292354583740234,0.02591705322265625
1.0,77,0.01745891571044922,0.027472257614135742
1.0,78,0.018967866897583008,0.024533987045288086
1.0,79,0.018245220184326172,0.04065990447998047
1.0,80,0.01896500587463379,0.025188922882080078
1.0,81,0.02111983299255371,0.02856588363647461
1.0,82,0.019865751266479492,0.027810096740722656
1.0,83,0.01979517936706543,0.02726292610168457
1.0,84,0.01962590217590332,0.026320695877075195
1.0,85,0.021860122680664062,0.032768964767456055
1.0,86,0.020004987716674805,0.025313854217529297
1.0,87,0.02025127410888672,0.024425029754638672
1.0,88,0.019471168518066406,0.02295517921447754
1.0,89,0.01832294464111328,0.024415016174316406
1.0,90,0.01862192153930664,0.024654865264892578
1.0,91,0.018716812133789062,0.020969152450561523
1.0,92,0.01863884925842285,0.023808956146240234
1.0,93,0.02013111114501953,0.027745962142944336
1.0,94,0.021461009979248047,0.03338170051574707
1.0,95,0.024629831314086914,0.027034759521484375
1.0,96,0.019805192947387695,0.024402141571044922
1.0,97,0.019052982330322266,0.029792070388793945
1.0,98,0.018653154373168945,0.023027896881103516
1.0,99,0.018439292907714844,0.029315948486328125
1.0,100,0.021821022033691406,0.050004005432128906
